start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
1643.00,1643.00,MEN,FORREST,,,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
1645.00,1646.00,MRS. GUMP,FORREST,,,ARM_AROUND_SHOULDER,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1650.00,1650.00,MEN,FORREST,,,TAP,0,POSITIVE,POSITIVE,1,
1719.00,1719.00,BUBBA,FORREST,,,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1719.00,1720.00,BUBBA,FORREST,,,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1720.00,1722.00,BUBBA,FORREST,,,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1999.00,1999.00,JENNY,MEN,,,HIT,0,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
2013.00,2014.00,FORREST,MEN,,,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
2014.00,2015.00,MEN,FORREST,,,HOLD,0,NEGATIVE,NEGATIVE,1,
2015.00,2016.00,MEN,FORREST,,,HOLD,0,NEGATIVE,NEGATIVE,1,
2015.00,2016.00,FORREST,MEN,,CHEST,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
2022.00,2022.00,FORREST,JENNY,,,CARRY,1,POSITIVE,NEGATIVE,1,
2023.00,2024.00,JENNY,FORREST,,CHEST,PUSH_AWAY,0,NEGATIVE,NEGATIVE,1,
2180.00,2180.00,MEN,MEN,,BACK,NUDGE,0,POSITIVE,POSITIVE,1,
2521.00,2583.00,BUBBA,FORREST,BACK,BACK,NESTLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,AUDITORY
2606.00,2607.00,JENNY,WOMAN,,,HUG,0,POSITIVE,POSITIVE,1,
2688.00,2688.00,DAN,MEN,,BACK,BRUSH PAST,0,POSITIVE,POSITIVE,0,
2712.00,2713.00,DAN,FORREST,,,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
2714.00,2714.00,DAN,FORREST,,,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
2783.00,2784.00,FORREST,MEN,,,CHANGE_POSITION,1,POSITIVE,STRONG_POSITIVE,1,
2785.00,2788.00,FORREST,MEN,,,CARRY,1,POSITIVE,STRONG_POSITIVE,1,
2789.00,2790.00,FORREST,MEN,,,CARRY,1,POSITIVE,STRONG_POSITIVE,1,
2790.00,2803.00,FORREST,MEN,,,CARRY,1,POSITIVE,STRONG_POSITIVE,1,
2804.00,2804.00,FORREST,MEN,,CHEST,CHANGE_POSITION,0,POSITIVE,STRONG_POSITIVE,1,
2809.00,2813.00,FORREST,MEN,,,CARRY,1,POSITIVE,STRONG_POSITIVE,1,
2818.00,2819.00,FORREST,MEN,,,CHANGE_POSITION,1,POSITIVE,NEGATIVE,1,
2820.00,2820.00,FORREST,MEN,,,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
2841.00,2844.00,FORREST,DAN,,,LAY_ON_SOMEBODY,0,POSITIVE,NEGATIVE,1,
2844.00,2845.00,DAN,FORREST,,,PUSH_AWAY,1,NEGATIVE,NEGATIVE,1,
2846.00,2851.00,FORREST,DAN,,ABDOMEN,FIX CLOTHING,0,POSITIVE,NEGATIVE,1,
2851.00,2852.00,DAN,FORREST,,,PUSH_AWAY,1,STRONG_NEGATIVE,NEGATIVE,1,AUDITORY
2853.00,2853.00,FORREST,DAN,,,HOLD,0,POSITIVE,STRONG_NEGATIVE,1,
2853.00,2853.00,DAN,FORREST,,CHEST,PUSH_AWAY,1,STRONG_NEGATIVE,NEGATIVE,1,AUDITORY
2854.00,2855.00,FORREST,DAN,,CHEST,WRESTLE,0,POSITIVE,NEGATIVE,1,
2854.00,2855.00,DAN,FORREST,CHEST,,WRESTLE,0,NEGATIVE,POSITIVE,1,
2855.00,2856.00,FORREST,DAN,,CHEST,CHANGE_POSITION,1,POSITIVE,STRONG_NEGATIVE,1,
2856.00,2860.00,FORREST,DAN,,,CARRY,1,POSITIVE,STRONG_NEGATIVE,1,
2866.00,2870.00,FORREST,DAN,,,CARRY,1,POSITIVE,STRONG_NEGATIVE,1,
2870.00,2871.00,FORREST,DAN,,,CHANGE_POSITION,0,NEGATIVE,STRONG_NEGATIVE,0,
2878.00,2878.00,FORREST,DAN,,,PULL_SOMEBODY,1,POSITIVE,STRONG_NEGATIVE,1,
2878.00,2880.00,FORREST,DAN,,,PULL_SOMEBODY,1,POSITIVE,STRONG_NEGATIVE,1,
2881.00,2884.00,FORREST,DAN,,,CARRY,1,POSITIVE,STRONG_NEGATIVE,1,
2885.00,2886.00,FORREST,DAN,,ABDOMEN,CARRY,1,POSITIVE,STRONG_NEGATIVE,1,
2887.00,2888.00,FORREST,DAN,,ABDOMEN,CARRY,1,POSITIVE,STRONG_NEGATIVE,1,
2889.00,2895.00,FORREST,DAN,,,CARRY,1,POSITIVE,STRONG_NEGATIVE,1,
2896.00,2897.00,FORREST,DAN,,,CHANGE_POSITION,1,POSITIVE,STRONG_NEGATIVE,1,
2898.00,2898.00,DAN,FORREST,,,HOLD,0,STRONG_NEGATIVE,NEGATIVE,1,
2899.00,2899.00,DAN,FORREST,,CHEST,HOLD,0,STRONG_NEGATIVE,NEGATIVE,1,
2899.00,2901.00,DAN,FORREST,,,HOLD,0,STRONG_NEGATIVE,NEGATIVE,1,
2901.00,2905.00,DAN,FORREST,,,HOLD,1,STRONG_NEGATIVE,NEGATIVE,1,
2905.00,2908.00,DAN,FORREST,,,HOLD,1,STRONG_NEGATIVE,NEGATIVE,1,
2928.00,2929.00,FORREST,BUBBA,,,PAT,0,POSITIVE,POSITIVE,1,
2962.00,2965.00,FORREST,BUBBA,,,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
