start;end;actor;recp;bp_actor;bp_recp;labels;int_bc;val_actor;val_recp;intention;audio_info
00:46:23;00:46:24;fg;man;hand;schulter;lag;str;neg;sneg;ja;aud narr
00:46:25;00:46:30;fg;man;arm bauch brust hand hals nacken ruecken schulter;arm bauch bein brust huefte;tra;str;neg;sneg;ja;narr
00:46:31;00:46:42;fg;man;arm bauch brust hand hals nacken ruecken schulter  ;arm bauch bein brust huefte;tra;str;neg;sneg;ja;
00:46:43;00:46:44;fg;man;arm nacken ruecken schulter;arm brust hand ;lag;wea;sneg;sneg;ja;
00:46:44;00:46:45;fg;man;hand;bauch;weg;wea;neg;neg;ja;aud narr
00:46:49;00:46:52;fg;man;arm nacken ruecken  schulter;arm bauch bein huefte ;tra;str;sneg;sneg;ja;
00:46:53;00:46:53;fg;man;hand;bein;sb;wea;neg;sneg;ja;
00:46:54;00:46:55;fg;man;hand;bein;sb;wea;neg;sneg;ja;
00:46:58;00:46:59;fg;man;hand;schulter;lag;wea;sneg;sneg;ja;aud
00:47:00;00:47:01;fg;man;hand;brust;lag;str;neg;sneg;ja;
00:47:01;00:47:02;fg;man;hand;huefte;sb;wea;neg;sneg;ja;
00:47:18;00:47:19;fg;man;arm bauch brust hals nacken;schulter;fes;wea;sneg;sneg;ja;
00:47:19;00:47:20;fg;man;gesicht;gesicht;ans;str;sneg;sneg;ja;
00:47:21;00:47:24;fg;dt;arm brust hand;bauch;fes;wea;neg;neg;ja;
00:47:24;00:47:25;dt;fg;arm;brust hals ;weg;str;sneg;neg;ja;
00:47:26;00:47:31;fg;dt;hand;bauch;klei;wea;neg;neg;ja;aud narr
00:47:32;00:47:33;dt;fg;arm hand ;brust ;weg;str;sneg;neg;ja;
00:47:33;00:47:36;fg;dt;arm brust hand;arm brust hand;rin;str;neg;sneg;ja;
00:47:33;00:47:36;dt;fg;arm brust hand;arm brust hand ;rin;str;sneg;neg;ja;
00:47:36;00:47:36;fg;dt;hand;brust;lag;str;neg;sneg;ja;narr
00:47:36;00:47:40;fg;dt;nacken ruecken;arm bauch hand ;tra;str;neg;sneg;ja;
