start,end,actor,recp,bp_actor,bp_recp,labels,int-bc,val_actor,val_recp,intention,audio_info
00:52:09:16,00:52:12:13,man,dt,arm,bein ruecken,lag,wea,pos,neg,ja,
00:52:10:14,00:52:20:10,dt,man,arm,nacken,arm,wea,neg,pos,ja,
00:52:12:14,00:52:19:04,man,dt,arm,bein ruecken,tra,wea,pos,neg,ja,
00:52:19:06,00:52:21:18,man,dt,arm,bein ruecken,lag,wea,pos,neg,ja,
00:55:04:05,00:55:07:15,man,fg,hand,nacken,klei,wea,pos,pos,ja,
00:55:10:01,00:55:14:20,man,fg,hand,hand,haes,wea,pos,pos,ja,
00:55:51:21,00:55:52:17,woman,fg,hand,schulter,lag,wea,pos,pos,ja,
00:55:53:06,00:55:54:11,woman,fg,hand,arme,fueh,wea,pos,pos,ja,
00:55:54:14,00:55:56:06,woman,fg,hand,ruecken,fueh,wea,pos,pos,ja,
00:55:56:14,00:55:56:24,woman,man,hand,arm,weg,wea,pos,pos,ja,
00:55:57:04,00:55:57:21,woman,fg,hand,arm,fueh,wea,pos,pos,ja,
00:56:01:02,00:56:02:02,man,fg,hand,ruecken,weg,wea,pos,pos,ja,
00:56:02:12,00:56:05:03,man,fg,hand,ruecken,fueh,wea,pos,pos,ja,
00:56:11:06,00:56:11:12,woman,oldman,hand,schulter,ans,wea,pos,pos,ja,
00:56:12:03,00:56:13:00,man,fg,hand,ruecken,fueh,wea,pos,pos,ja,
00:56:12:04,00:56:12:11,woman,man,hand,arm,ans,wea,pos,pos,ja,
00:56:13:01,00:56:14:02,woman,man,hand,schulter,fueh,wea,pos,pos,ja,
00:56:16:07,00:56:16:10,man,fg,hand,ruecken,ans,wea,pos,pos,ja,
00:56:16:17,00:56:16:19,woman,man,hand,arm,ans,wea,pos,pos,ja,
00:56:17:06,00:56:18:01,woman,fg,hand,arm,zie,wea,pos,pos,ja,
00:56:18:07,00:56:18:22,woman,fg,hand,ruecken,weg,wea,pos,pos,ja,
00:56:18:17,00:56:19:08,woman,fg,hand,arm,zie,wea,pos,pos,ja,
