start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
00:49:30:12;00:49:32:03;bb;fg;hand;nacken;fes;wea;sneg;sneg;ja;
00:49:32:13;00:49:33:13;bb;fg;hand;nacken;fes;wea;sneg;sneg;ja;
00:49:34:01;00:49:36:17;bb;fg;hand;nacken;fes;wea;sneg;sneg;ja;
00:49:50:24;00:49:56:00;fg;bb;hand arm schulter;bein ruecken hand;tra;str;sneg;sneg;ja;narr
00:49:50:24;00:49:56:00;bb;fg;bein ruecken hand;hand arm schulter;lie;wea;sneg;sneg;ja;narr
00:50:05:04;00:50:13:00;fg;bb;hand schulter arm;bein hand ruecken;tra;str;sneg;sneg;ja;narr
00:50:05:04;00:50:13:00;bb;fg;bein hand ruecken;hand schulter arm;lie;wea;sneg;sneg;ja;narr
00:50:13:07;00:50:22:20;fg;bb;hand;bein;tra;str;neg;neg;ja;narr
00:50:13:07;00:50:22:20;bb;fg;bein;hand;lie;wea;neg;neg;ja;narr
00:50:13:11;00:50:59:17;fg;bb;schulter;hand;tra;str;neg;neg;ja;narr
00:50:13:11;00:50:59:17;bb;fg;hand;schulter;fes;wea;neg;sneg;ja;narr
00:50:13:13;00:50:27:20;fg;bb;schulter;arm;tra;str;neg;neg;ja;narr
00:50:13:13;00:50:27:20;bb;fg;arm;schulter;lie;wea;neg;neg;ja;narr
00:50:41:09;00:50:52:01;fg;bb;schulter;arm;tra;str;neg;neg;ja;narr
00:50:41:09;00:50:52:01;bb;fg;arm;schulter;lie;wea;neg;neg;ja;narr
00:52:04:04;00:52:05:21;man;dt;hand;hand;fueh;wea;pos;neg;ja;narr
00:52:06:02;00:52:07:03;man;dt;hand;hand;fueh;wea;pos;neg;ja;narr
00:52:07:15;00:52:09:04;man;dt;hand;schulter;lag;str;pos;neg;ja;narr
00:52:09:02;00:52:19:19;man;dt;hand;ruecken;tra;str;neg;neg;ja;narr
00:52:13:23;00:52:19:19;man;dt;arm;ruecken;tra;str;neg;neg;ja;narr
00:52:12:01;00:52:14:17;man;dt;hand;bein;tra;str;neg;neg;ja;narr
00:52:11:04;00:52:14:02;dt;man;hand;schulter;fes;str;neg;neg;ja;
00:52:18:21;00:52:20:09;dt;man;hand;schulter;fes;str;neg;neg;ja;
00:52:12:07;00:52:20:14;man;dt;brust;huefte;tra;str;neg;neg;ja;
00:52:20:15;00:52:21:19;man;dt;arm;ruecken;sb;wea;pos;neg;ja;
00:55:04:24;00:55:07:15;man;fg;hand;nacken;sb;wea;pos;pos;ja;narr
00:55:10:02;00:55:14:20;man;fg;hand;hand;haes;wea;pos;pos;ja;
00:55:51:21;00:55:52:05;woman;fg;hand;schulter;zieh;wea;pos;neg;ja;narr
00:55:53:08;00:55:54:11;woman;fg;hand;arm;fes;wea;pos;pos;ja;narr
00:55:54:14;00:55:56:05;woman;fg;hand;ruecken;fueh;wea;pos;pos;ja;narr
00:55:56:16;00:55:56:23;woman;man;hand;schulter;fueh;wea;pos;pos;ja;
00:55:57:04;00:55:57:15;woman;fg;hand;schulter;fueh;wea;pos;neg;ja;
00:55:57:16;00:55:57:21;woman;fg;hand;arm;sb;wea;pos;neg;ja;
00:55:58:06;00:55:58:12;woman;man;hand;schulter;fueh;wea;pos;pos;ja;
00:56:01:02;00:56:02:02;man;fg;hand;huefte;fueh;wea;pos;pos;ja;
00:56:03:19;00:56:04:03;man;fg;hand;ruecken;fueh;wea;pos;neg;ja;
00:56:04:17;00:56:05:06;man;fg;hand;ruecken;fueh;wea;pos;neg;ja;
00:56:11:06;00:56:11:10;woman;man;hand;schulter;fueh;wea;pos;pos;ja;
00:56:12:04;00:56:12:09;woman;man;hand;arm;fueh;wea;pos;pos;ja;
00:56:13:01;00:56:13:23;woman;man;hand;schulter;fueh;wea;pos;pos;ja;
00:56:16:16;00:56:16:18;woman;man;hand;arm;sb;wea;pos;pos;ja;
00:56:17:15;00:56:18:01;woman;fg;hand;arm;zieh;wea;pos;neg;ja;
00:56:18:04;00:56:18:21;woman;fg;hand;ruecken;fueh;wea;pos;neg;ja;
00:56:18:18;00:56:19:09;woman;fg;hand;arm;zieh;wea;pos;neg;ja;
00:56:19:10;00:56:19:21;woman;fg;hand;schulter;klop;wea;pos;neg;ja;
00:56:19:05;00:56:19:22;woman;man;hand;ruecken;fueh;wea;pos;pos;ja;
00:56:20:01;00:56:20:11;woman;man;hand;schulter;fes;wea;pos;pos;ja;
00:56:21:20;00:56:22:19;man;fg;hand;arm;ans;wea;pos;pos;ja;
00:56:56:18;00:56:56:23;woman;fg;hand;schulter;ans;wea;pos;pos;ja;
00:57:03:09;00:57:04:00;man;fg;hand;ruecken;fueh;wea;pos;pos;ja;
00:58:13:13;00:58:13:22;woman;man;hand;ruecken;ans;str;neg;neg;ja;
00:58:14:22;00:58:15:16;man;man;arm;arm;zieh;str;sneg;sneg;ja;narr
00:58:44:12;00:58:56:01;man;fg;hand;schulter;fes;wea;pos;pos;ja;narr
00:59:26:20;00:59:38:07;jc;fg;brust hand arm gesicht;brust arm nacken;hug;str;spos;spos;ja;narr
00:59:38:08;00:59:47:01;fg;jc;arm;hand;ein;wea;pos;pos;ja;
00:59:38:08;00:59:47:01;jc;fg;hand;arm;ein;wea;pos;pos;ja;
00:59:54:15;00:59:55:05;man;fg;hand;arm;abt;str;pos;neg;ja;
01:00:08:04;01:00:08:07;man;man;hand;arm;fes;str;pos;pos;ja;
01:00:23:06;01:00:23:20;man;man;hand;brust;weg;wea;neg;neg;ja;
01:00:44:22;01:00:44:24;man;jc;hand;gesicht;fei;str;neg;sneg;ja;narr aud
01:00:54:00;01:00:55:12;fg;man;brust;brust;tac;str;neg;sneg;ja;narr aud
01:01:03:22;01:01:04:21;jc;fg;hand;schulter;zieh;str;sneg;neg;ja;
01:01:05:13;01:01:06:10;jc;man;hand;arm;fes;wea;neg;sneg;ja;
01:02:03:02;01:02:03:20;jc;fg;hand;schulter arm;sb;wea;pos;pos;ja;narr
01:02:04:13;01:02:06:03;jc;fg;hand;schulter arm;sb;wea;pos;pos;ja;narr
01:02:26:03;01:02:32:01;jc;fg;hand;arm;ein;wea;pos;spos;ja;narr
01:02:27:22;01:02:28:02;jc;fg;hand;arm;klop;wea;pos;pos;ja;
01:02:28:03;01:02:32:01;jc;fg;hand;arm;fes;wea;pos;pos;ja;
01:04:04:24;01:04:05:09;fg;jc;hand;hand;fes;wea;pos;pos;ja;narr
01:04:29:06;01:04:33:18;jc;fg;gesicht arm;gesicht schulter;hug;wea;spos;spos;ja;narr
01:04:29:18;01:04:31:20;fg;jc;hand;ruecken;klop;wea;pos;pos;ja;
01:04:31:21;01:04:33:18;jc;fg;hand;ruecken;klop;wea;pos;pos;ja;
