start;end;actor;recp;bp_actor;bp_recp;label;int_bc;val_actor;val_recp;intention;audio_info
01:44:54;01:44:58;jc;boy;hand;brust;fes;wea;pos;pos;ja;
01:45:03;01:45:02;jc;bos;hand arm brust schulter ruecken bauch huefte;brust arm schulter ruecken bauch huefte gesaess;tra;wea;pos;pos;ja;
01:45:02;01:45:03;jc;boy;hand;brust;fes;wea;pos;pos;ja;
01:45:04;01:45:04;jc;boy;hand;schulter;sb;wea;pos;pos;ja;
01:45:45;01:45:45;jc;fg;hand;brust;sb;wea;pos;pos;ja;
01:45:46;01:45:48;jc;fg;hand;hand;hah;wea;pos;pos;ja;narr
01:47:59;01:48:00;woman;fg;hand;ruecken;sb;wea;pos;pos;ja;
01:48:23;01:48:30;jc;fg;hand;brust bauch;klei;wea;pos;pos;ja;narr
01:48:38;01:48:38;jc;fg;hand;brust;sb;wea;pos;pos;ja;
01:49:18;01:49:20;dt;woman;arm hand;ruecken;arm;wea;pos;pos;ja;
01:49:34;01:49:35;jc;dt;kopf hand;kopf;kuss;wea;pos;pos;ja;narr aud
01:49:46;01:49:49;jc;boy;hand;arm;zie;wea;pos;pos;ja;
01:49:49;01:49:49;jc;fg;hand;hand;hah;wea;pos;pos;ja;
01:49:49;01:49:49;fg;jc;hand;hand;hah;wea;pos;pos;ja;
01:50:02;01:50:07;jc;fg;hand;hand;hah;wea;pos;pos;ja;
01:50:02;01:50:07;fg;jc;hand;hand;hah;wea;pos;pos;ja;
01:50:07;01:50:30;fg;boy;hand;hand;hah;wea;pos;pos;ja;narr
01:50:12;01:50:12;fg;jc;hand;hand;sb;wea;pos;pos;ja;narr
01:50:44;01:50:44;jc;fg;hand;bein;sb;wea;pos;pos;ja;
01:52:05;01:52:07;jc;fg;hand;hand;hah;wea;pos;pos;ja;narr
01:52:58;01:53:06;fg;boy;arm ;arm;nah;wea;pos;pos;ja;narr
01:52:58;01:53:06;boy;fg;arm ;arm;nah;wea;pos;pos;ja;narr
01:53:03;01:53:03;fg;boy;kopf;kopf;kuss;wea;pos;pos;ja;aud
01:55:45;01:55:52;fg;boy;arm;arm hand;nah;wea;pos;pos;ja;
01:55:45;01:55:52;boy;fg;arm hand;arm;nah;wea;pos;pos;ja;
01:55:53;01:56:01;boy;fg;arm hand;arm bein;nah;wea;pos;pos;ja;
01:55:53;01:56:01;fg;boy;arm bein;arm hand;nah;wea;pos;pos;ja;
01:56:01;01:56:05;boy;fg;arm hand;arm bein;nah;wea;pos;pos;ja;
01:56:01;01:56:05;fg;boy;bein hand;arm hand;nah;wea;pos;pos;ja;
01:56:08;01:56:12;boy;fg;arm hand;arm bein schulter;nah;wea;pos;pos;ja;
01:56:08;01:56:12;fg;boy;arm bein schulter;arm hand;nah;wea;pos;pos;ja;
01:56:13;01:56:14;fg;boy;hand;schulter;sb;wea;pos;pos;ja;
