start,end,actor,recp,bp_actor,bp_recp,labels,int_bc,val_actor,val_recp,intention,audio_info
00:58:44:16,00:58:55:19,man,fg,hand arm,schulter,arm,wea,pos,pos,ja,narr
00:58:56:14,00:59:11:07,crowd,crowd,arme,arm,sb,wea,pos,pos,nein,
00:59:11:08,00:59:20:22,fg,crowd,hand,arm,ans,wea,neg,neg,nein,narr
00:59:26:19,00:59:38:04,jc,fg,brust arm,brust arm,hug,str,spos,spos,ja,narr
00:59:26:19,00:59:38:04,fg,jc,brust arm,brust arm,hug,str,spos,spos,ja,narr
00:59:40:11,00:59:47:00,jc,fg,hand,arm,fes,wea,spos,spos,ja,
00:59:54:02,00:59:56:00,man,fg,hand,arme,abt ,wea,neg,neg,ja,
00:59:56:01,00:59:56:09,jc,man,hand,brust,weg,wea,pos,neg,ja,
00:59:58:18,01:00:00:03,man,jc,brust,arm,sb,wea,neg,neg,nein,
01:00:23:16,01:00:24:04,man,man,hand,brust,weg,wea,neg,neg,ja,
01:00:44:22,01:00:45:17,man,jc,hand,gesicht,fei,str,sneg,sneg,ja,narr
01:00:54:01,01:00:55:08,fg,man,brust,arm brust,tac,str,sneg,sneg,ja,narr
01:00:58:23,01:01:01:05,fg,man,hand,gesicht,hit,str,sneg,sneg,ja,narr
01:01:04:10,01:01:05:09,jc,fg,hand,arm,zie,str,neg,neg,ja,narr
01:01:06:02,01:01:06:17,jc,man,hand,bauch,tae,wea,pos,neg,ja,
01:02:03:07,01:02:06:15,jc,fg,hand,schulter,klei,wea,pos,pos,ja,narr
01:02:25:19,01:02:32:01,jc,fg,arm,arm,ein,wea,pos,pos,ja,narr
01:04:05:02,01:04:05:06,fg,jc,hand,hand,sb,wea,pos,pos,ja,narr
01:04:28:24,01:04:33:15,jc,fg,brust arm,brust arm,hug,str,spos,spos,ja,narr
01:10:52:10,01:10:56:13,dt,fg,hand,ruecken,sb,wea,pos,pos,ja,
01:11:26:05,01:11:26:14,woman,dt,hand,kopf,sb,wea,pos,pos,nein,
01:11:37:07,01:11:38:12,woman,dt,gesicht,kopf,kuss,wea,pos,pos,ja,
01:11:38:05,01:11:40:07,woman,fg,hand,ruecken,sb,wea,pos,pos,ja,
01:12:24:16,01:12:36:08,women,fg,gesicht,gesicht,kuss,str,pos,pos,ja,narr
01:15:04:16,01:15:07:11,mg,fg,hand,schulter,fes,wea,spos,pos,ja,
01:15:06:19,01:15:07:01,mg,fg,gesicht,gesicht,kuss,str,spos,pos,ja,
01:15:07:02,01:15:08:00,fg,mg,hand,schulter,sb,wea,pos,pos,ja,
01:15:09:20,01:15:11:02,mg,fg,hand,hand,fueh,wea,pos,pos,ja,
01:18:09:01,01:18:12:14,crowd,crowd,hand,hand,tanz,wea,pos,pos,nein ,
01:18:09:01,01:18:10:23,woman,man,hand,hand,tanz,wea,pos,pos,nein,
01:18:09:01,01:18:10:23,man,woman,hand,hand,tanz,wea,pos,pos,nein,
01:18:13:24,01:18:15:18,woman,man,schulter,arm,arm,wea,pos,pos,nein,
01:18:13:24,01:18:15:18,woman,woman,arm,schulter,arm,wea,pos,pos,nein,
01:18:16:07,01:18:17:04,man,woman,hand,hand,hah,wea,pos,pos,ja,
01:18:44:02,01:18:45:21,man,jc,hand,ruecken,tae,wea,pos,pos,ja,narr
01:21:40:00,01:21:41:13,fg,dt,hand,hand,haes,str,spos,spos,ja,
01:22:53:12,01:23:02:18,crowd,crowd,arm schulter,arm schulter,sb,wea,pos,pos,nein,
01:23:26:10,01:23:27:20,dt,fg,arm,schulter,sb,wea,pos,pos,nein,
01:23:33:03,01:23:33:23,dt,fg,arm,schulter,sb,wea,pos,pos,nein,
01:27:37:06,01:27:42:22,crowd,crowd,arm schulter,arm schulter,sb,wea,pos,pos,nein,
01:27:58:02,01:27:58:17,woman,man,hand,hand,haes,wea,pos,pos,ja,
01:28:03:14,01:28:07:14,boy,woman,brust,arm,sb,wea,pos,pos,nein,
01:28:03:22,01:28:10:08,girl,children,hand,schulter,sb,wea,pos,pos,ja,
01:30:18:21,01:30:29:21,jc,fg,gesicht arm brust,hals arm brust,hug,str,spos,spos,ja,narr
01:31:10:19,01:31:13:18,jc,fg,arm,arm,nah,wea,pos,pos,nein,
01:31:10:19,01:31:13:18,fg ,jc,arm,arm,nah,wea,pos,pos,nein,
01:31:23:07,01:31:25:22,jc,fg,hand,schulter arm,sb,wea,pos,pos,ja,
01:31:28:15,01:31:32:03,fg,jc,hand,hand,tanz,str,spos,spos,nein,narr
01:31:28:15,01:31:32:03,jc ,fg,hand ,hand,tanz,str,spos,spos,nein,narr
01:31:36:03,01:31:42:12,jc ,fg,hand,hand,tanz,str,spos,spos,ja,narr
